sep=;
Agent1;Agent2;Domain;Agreement;Util1;Util2
VortexAgent;PhoenixAgent;movie date;YES;0.7000;0.8850
VortexAgent;PhoenixAgent;movie date;YES;0.7000;0.8850
VortexAgent;PhoenixAgent;movie date;YES;0.7000;0.8850
VortexAgent;VortexAgent;movie date;YES;0.8200;0.8100
VortexAgent;VortexAgent;movie date;YES;0.8200;0.8100
VortexAgent;VortexAgent;movie date;YES;0.8200;0.8100
RandomAgent;RandomAgent;SmallCoop;YES;0.4887;0.3548
RandomAgent;RandomAgent;SmallCoop;YES;0.0000;0.0000
RandomAgent;RandomAgent;SmallCoop;YES;1.0000;1.0000
RandomAgent;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
RandomAgent;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
RandomAgent;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
RandomAgent;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
RandomAgent;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
RandomAgent;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
RandomAgent;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
RandomAgent;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
RandomAgent;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
RandomAgent;MiCROAgent;SmallCoop;YES;0.4887;0.3548
RandomAgent;MiCROAgent;SmallCoop;YES;1.0000;1.0000
RandomAgent;MiCROAgent;SmallCoop;YES;0.5113;0.6452
RandomAgent;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
RandomAgent;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
RandomAgent;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
RandomAgent;VortexAgent;SmallCoop;YES;1.0000;1.0000
RandomAgent;VortexAgent;SmallCoop;YES;1.0000;1.0000
RandomAgent;VortexAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;RandomAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;RandomAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;RandomAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;TimeBased_Conceder;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;AdaptiveAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;MiCROAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;MiCROAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;MiCROAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;PhoenixAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;VortexAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;VortexAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Boulware;VortexAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;RandomAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;RandomAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;RandomAgent;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
TimeBased_Conceder;TimeBased_Boulware;SmallCoop;YES;1.0000;1.0000
